  Time                  V(C6:2)               V(C7:1)              
  3.364654006958e-004  1.712037337074e-001  1.361155500058e-001  
  3.489654006958e-004  1.625641637098e-001  1.275699757210e-001  
  3.579528274536e-004  1.557296622460e-001  1.208980155237e-001  
  3.675506057739e-004  1.478834125726e-001  1.133143163348e-001  
  3.800506057739e-004  1.368630568973e-001  1.027775903953e-001  
  3.925506057739e-004  1.249988949647e-001  9.155944837301e-002  
  4.050506057739e-004  1.123640732783e-001  7.973496000625e-002  
  4.141799392700e-004  1.026939385227e-001  7.076115095750e-002  
  4.241118850708e-004  9.179107839071e-002  6.071627692873e-002  
  4.366118850708e-004  7.756657429545e-002  4.772132797790e-002  
  4.491118850708e-004  6.286384647616e-002  3.441481493467e-002  
  4.578887405396e-004  5.230326117268e-002  2.493331130304e-002  
  4.672378005981e-004  4.088004750762e-002  1.474812831800e-002  
  4.797378005981e-004  2.539350391137e-002  1.057898777936e-003  
  4.922378005981e-004  9.750400919302e-003  -1.263124648628e-002  
  5.047378005981e-004  -5.952816536770e-003  -2.622805370150e-002  
  5.139159622192e-004  -1.746504018596e-002  -3.610029391786e-002  
  5.238814773560e-004  -2.989785976800e-002  -4.666688885529e-002  
  5.363814773560e-004  -4.532119020887e-002  -5.963085503405e-002  
  5.488814773560e-004  -6.046510044128e-002  -7.219436249166e-002  
  5.499953689575e-004  -6.179786413775e-002  -7.329168954441e-002  
  5.522231521606e-004  -6.445424529468e-002  -7.547464633955e-002  
  5.554290237427e-004  -6.825459164622e-002  -7.858795115965e-002  
  5.587989273071e-004  -7.221950414080e-002  -8.182357605842e-002  
  5.655387344360e-004  -8.005043595016e-002  -8.817548662574e-002  
  5.780387344360e-004  -9.418372928285e-002  -9.950189213756e-002  
  5.905387344360e-004  -1.077363486053e-001  -1.101823411345e-001  
  6.030387344360e-004  -1.206247375125e-001  -1.201562115515e-001  
  6.125907363892e-004  -1.299762921008e-001  -1.272682379679e-001  
  6.228629531860e-004  -1.395097348218e-001  -1.343975519949e-001  
  6.353629531860e-004  -1.503234481782e-001  -1.423182852013e-001  
  6.478629531860e-004  -1.602103674891e-001  -1.493818562660e-001  
  6.578864517212e-004  -1.674276009351e-001  -1.544104359149e-001  
  6.685386123657e-004  -1.743692513948e-001  -1.591235604825e-001  
  6.810386123657e-004  -1.815172628529e-001  -1.638179236391e-001  
  6.935386123657e-004  -1.875461600248e-001  -1.676042655184e-001  
  7.060386123657e-004  -1.924187727548e-001  -1.704821247480e-001  
  7.150275650024e-004  -1.951909057684e-001  -1.719902622602e-001  
  7.248465957642e-004  -1.975074199523e-001  -1.731015645266e-001  
  7.373465957642e-004  -1.993682493009e-001  -1.737087495207e-001  
  7.498465957642e-004  -1.999999070960e-001  -1.734127398273e-001  
  7.580405654907e-004  -1.997448235737e-001  -1.727279362824e-001  
  7.667182388306e-004  -1.988975944037e-001  -1.715780452167e-001  
  7.792182388306e-004  -1.966391609613e-001  -1.691536455399e-001  
  7.917182388306e-004  -1.931683817025e-001  -1.658202620163e-001  
  8.042182388306e-004  -1.885066551355e-001  -1.615767501290e-001  
  8.135032119751e-004  -1.842898001070e-001  -1.578364072823e-001  
  8.235572280884e-004  -1.790170747421e-001  -1.532235135617e-001  
  8.360572280884e-004  -1.714683242657e-001  -1.466826448040e-001  
  8.485572280884e-004  -1.628624145511e-001  -1.392648266208e-001  
  8.577475967407e-004  -1.558913551418e-001  -1.332656631814e-001  
  8.675376358032e-004  -1.478943850393e-001  -1.263823612269e-001  
  8.800376358032e-004  -1.368749411184e-001  -1.168862635026e-001  
  8.925376358032e-004  -1.250116176700e-001  -1.066402819379e-001  
  9.050376358032e-004  -1.123775560281e-001  -9.569926802664e-002  
  9.141898574829e-004  -1.026832432170e-001  -8.728341425202e-002  
  9.241385879517e-004  -9.176126410952e-002  -7.778175688251e-002  
  9.366385879517e-004  -7.753564379854e-002  -6.537712317492e-002  
  9.491385879517e-004  -6.283199046033e-002  -5.252700187626e-002  
  9.575965347290e-004  -5.265759068256e-002  -4.362084467246e-002  
  9.665473403931e-004  -4.172899951712e-002  -3.404381825003e-002  
  9.790473403931e-004  -2.625389806923e-002  -2.046881096255e-002  
  9.915473403931e-004  -1.061693260943e-002  -6.741493421453e-003  
  1.004047340393e-003  5.085489770399e-003  7.046773051004e-003  
  1.013414710999e-003  1.683747001653e-002  1.736412417901e-002  
  1.023540443420e-003  2.947405110684e-002  2.845207447246e-002  
  1.036040443420e-003  4.490367882900e-002  4.197635016537e-002  
  1.048540443420e-003  6.005646043918e-002  5.523510696671e-002  
  1.057387489319e-003  7.056269326207e-002  6.440991253020e-002  
  1.066768592834e-003  8.146432266441e-002  7.390980110282e-002  
  1.079268592834e-003  9.554429506090e-002  8.614219892605e-002  
  1.091768592834e-003  1.090352051066e-001  9.781294307145e-002  
  1.104268592834e-003  1.218538768550e-001  1.088438544388e-001  
  1.113610023499e-003  1.309471296896e-001  1.166251992109e-001  
  1.123717445374e-003  1.402771286405e-001  1.245615073280e-001  
  1.136217445374e-003  1.510295473021e-001  1.336327939089e-001  
  1.148717445374e-003  1.608508185821e-001  1.418261433537e-001  
  1.150279945374e-003  1.620099252828e-001  1.427856047614e-001  
  1.150670570374e-003  1.622972664680e-001  1.430233257687e-001  
  1.151451820374e-003  1.628690141134e-001  1.434956395818e-001  
  1.153014320374e-003  1.640007224105e-001  1.444293145492e-001  
  1.156139320374e-003  1.662166112588e-001  1.462520451433e-001  
  1.162389320374e-003  1.704553203888e-001  1.497162276465e-001  
  1.174889320374e-003  1.781381188834e-001  1.559007638386e-001  
  1.187389320374e-003  1.847226366382e-001  1.610597278231e-001  
  1.199889320374e-003  1.901682779116e-001  1.651574036522e-001  
  1.212389320374e-003  1.944414685143e-001  1.681689237102e-001  
  1.224318641663e-003  1.974019159738e-001  1.700100420543e-001  
  1.236818641663e-003  1.993144615643e-001  1.708459646526e-001  
  1.249318641663e-003  1.999981672205e-001  1.705579887673e-001  
  1.258397621155e-003  1.997216626207e-001  1.696456025179e-001  
  1.267168373108e-003  1.988374895996e-001  1.682052216059e-001  
  1.279668373108e-003  1.965351118956e-001  1.652135027518e-001  
  1.292168373108e-003  1.930210298721e-001  1.611368118524e-001  
  1.304668373108e-003  1.883169090135e-001  1.560023172479e-001  
  1.313956398010e-003  1.840678066637e-001  1.515219156706e-001  
  1.324025672913e-003  1.787538169744e-001  1.460445990453e-001  
  1.336525672913e-003  1.711645678685e-001  1.383849165154e-001  
  1.349025672913e-003  1.625200322837e-001  1.298201676807e-001  
  1.357361549377e-003  1.561948034778e-001  1.236331940054e-001  
  1.366141456604e-003  1.490697801633e-001  1.167284367691e-001  
  1.378641456604e-003  1.381489106018e-001  1.062570903238e-001  
  1.391141456604e-003  1.263763070673e-001  9.509578444820e-002  
  1.403641456604e-003  1.138245515753e-001  8.331904355010e-002  
  1.413185829163e-003  1.037639069975e-001  7.396116257259e-002  
  1.423464149475e-003  9.251349414154e-002  6.357569825538e-002  
  1.435964149475e-003  7.831618883664e-002  5.058141881608e-002  
  1.448464149475e-003  6.363603818479e-002  3.727020988200e-002  
  1.457118934631e-003  5.323634708133e-002  2.791500813421e-002  
  1.458260101318e-003  5.185269388966e-002  2.667491620978e-002  
  1.460542434692e-003  4.907746138191e-002  2.419089373375e-002  
  1.465107101440e-003  4.349729207748e-002  1.920938825364e-002  
  1.474236434937e-003  3.223424012831e-002  9.208124725248e-003  
  1.486736434937e-003  1.664820115058e-002  -4.513062300741e-003  
  1.499236434937e-003  9.595204766678e-004  -1.818266148463e-002  
  1.511736434937e-003  -1.473507596006e-002  -3.170983889879e-002  
  1.524236434937e-003  -3.033882575358e-002  -4.500563550001e-002  
  1.536736434937e-003  -4.575552659764e-002  -5.798270208344e-002  
  1.549236434937e-003  -6.089012940498e-002  -7.055749517991e-002  
  1.557677597046e-003  -7.090369244817e-002  -7.878132612431e-002  
  1.566431564331e-003  -8.107734363510e-002  -8.705246302670e-002  
  1.578931564331e-003  -9.517201178485e-002  -9.836135833958e-002  
  1.591431564331e-003  -1.086799128340e-001  -1.090202490751e-001  
  1.603931564331e-003  -1.215177660809e-001  -1.189690427481e-001  
  1.613405746460e-003  -1.307529915623e-001  -1.260038835124e-001  
  1.623627609253e-003  -1.401966393409e-001  -1.330796798928e-001  
  1.636127609253e-003  -1.509555167651e-001  -1.409766863856e-001  
  1.648627609253e-003  -1.607837032306e-001  -1.480137972994e-001  
  1.657090133667e-003  -1.668781423068e-001  -1.522780166592e-001  
  1.665993637085e-003  -1.727806563924e-001  -1.563217838176e-001  
  1.678493637085e-003  -1.801513374642e-001  -1.612256066027e-001  
  1.690993637085e-003  -1.864113256342e-001  -1.652201211478e-001  
  1.703493637085e-003  -1.915220259935e-001  -1.683027900598e-001  
  1.713189071655e-003  -1.946743041013e-001  -1.700658888619e-001  
  1.723600143433e-003  -1.972548450884e-001  -1.713488138954e-001  
  1.736100143433e-003  -1.992377379307e-001  -1.720565889317e-001  
  1.748600143433e-003  -1.999922638654e-001  -1.718573561032e-001  
  1.756998580933e-003  -1.998066653339e-001  -1.712134937393e-001  
  1.765816635132e-003  -1.990131969807e-001  -1.700954661405e-001  
  1.778316635132e-003  -1.968428363821e-001  -1.677348893613e-001  
  1.790816635132e-003  -1.934588742403e-001  -1.644626134502e-001  
  1.803316635132e-003  -1.888821738072e-001  -1.602778889025e-001  
  1.813094467163e-003  -1.844887424328e-001  -1.563696506974e-001  
  1.823574203491e-003  -1.790075619315e-001  -1.515654101951e-001  
  1.836074203491e-003  -1.714573427303e-001  -1.450127299907e-001  
  1.848574203491e-003  -1.628500319959e-001  -1.375832345534e-001  
  1.856978744507e-003  -1.564947956557e-001  -1.321070253699e-001  
  1.865799850464e-003  -1.493556232614e-001  -1.259555401100e-001  
  1.878299850464e-003  -1.384590003601e-001  -1.165582643784e-001  
  1.890799850464e-003  -1.267087316792e-001  -1.064049932116e-001  
  1.903299850464e-003  -1.141772615327e-001  -9.554960136024e-002  
  1.913100570679e-003  -1.038554834736e-001  -8.658685916682e-002  
  1.923600143433e-003  -9.236194755809e-002  -7.658513972222e-002  
  1.936100143433e-003  -7.815891227036e-002  -6.419703750926e-002  
  1.948600143433e-003  -6.347400129800e-002  -5.136071088847e-002  
  1.956995529175e-003  -5.338581223985e-002  -4.252901531820e-002  
  1.965801376343e-003  -4.264531292297e-002  -3.311632175413e-002  
  1.978301376343e-003  -2.718290072678e-002  -1.955238788032e-002  
  1.990801376343e-003  -1.155289690839e-002  -5.831660232328e-003  
  2.003301376343e-003  4.148334361181e-003  7.954643001861e-003  
  2.013138717651e-003  1.649185264735e-002  1.879023643244e-002  
  2.023671859741e-003  2.963738053286e-002  3.032293895336e-002  
  2.036171859741e-003  4.506459000653e-002  4.384204105213e-002  
  2.048671859741e-003  6.021396129731e-002  5.709405397041e-002  
  2.057051986694e-003  7.016804360913e-002  6.578421264983e-002  
  2.065839523315e-003  8.039667780764e-002  7.469601710748e-002  
  2.078339523315e-003  9.451700817491e-002  8.696218412938e-002  
  2.090839523315e-003  1.080546097567e-001  9.867221485871e-002  
  2.103339523315e-003  1.209260187375e-001  1.097476566951e-001  
  2.113164657593e-003  1.305235915930e-001  1.179590385951e-001  
  2.123688644409e-003  1.402513290816e-001  1.262297078090e-001  
  2.136188644409e-003  1.510058187600e-001  1.352963984715e-001  
  2.148688644409e-003  1.608293073513e-001  1.434849813214e-001  
  2.157068771362e-003  1.668633447385e-001  1.484550935748e-001  
  2.165856307983e-003  1.726936744366e-001  1.531994478013e-001  
  2.178356307983e-003  1.800763178729e-001  1.590958220476e-001  
  2.190856307983e-003  1.863487309280e-001  1.639561480841e-001  
  2.203356307983e-003  1.914722420898e-001  1.677480654442e-001  
  2.213186019897e-003  1.946734249670e-001  1.699626202698e-001  
  2.223713058472e-003  1.972782242238e-001  1.715731542528e-001  
  2.236213058472e-003  1.992500643374e-001  1.724549713690e-001  
  2.248713058472e-003  1.999934615471e-001  1.722137821370e-001  
  2.257096237183e-003  1.998012331144e-001  1.714227987558e-001  
  2.265885299683e-003  1.990046175222e-001  1.700534142848e-001  
  2.278385299683e-003  1.968275469649e-001  1.671649838573e-001  
  2.290885299683e-003  1.934369691287e-001  1.631891830610e-001  
  2.303385299683e-003  1.888537880536e-001  1.581523200918e-001  
  2.313216537476e-003  1.844294563309e-001  1.534667878388e-001  
  2.323745101929e-003  1.789116790801e-001  1.477651029896e-001  
  2.336245101929e-003  1.713466784046e-001  1.401157450332e-001  
  2.348745101929e-003  1.627252684782e-001  1.315603434466e-001  
  2.357131332397e-003  1.563753257262e-001  1.253403998077e-001  
  2.365923446655e-003  1.492522820129e-001  1.184285736650e-001  
  2.378423446655e-003  1.383468806490e-001  1.079592326584e-001  
  2.390923446655e-003  1.265885247610e-001  9.679842415612e-002  
  2.403423446655e-003  1.140497085229e-001  8.502057798117e-002  
  2.413251632690e-003  1.036932068054e-001  7.537797813013e-002  
  2.423780197144e-003  9.216119870310e-002  6.472390205957e-002  
  2.436280197144e-003  7.795059296908e-002  5.170856681540e-002  
  2.448780197144e-003  6.325939590820e-002  3.837846052454e-002  
  2.457171005249e-003  5.317327103197e-002  2.929817126050e-002  
  2.465966171265e-003  4.244296512675e-002  1.970079337641e-002  
  2.478466171265e-003  2.697772043839e-002  5.982524495943e-003  
  2.490966171265e-003  1.134614913252e-002  -7.745086427343e-003  
  2.503466171265e-003  -4.355374955722e-003  -2.139080273612e-002  
  2.513288253784e-003  -1.667911803844e-002  -3.199677845853e-002  
  2.523813766479e-003  -2.981372517255e-002  -4.319531920547e-002  
  2.536313766479e-003  -4.523831154781e-002  -5.620006987409e-002  
  2.548813766479e-003  -6.038398868912e-002  -6.880587519072e-002  
  2.557204574585e-003  -7.034757056025e-002  -7.700395560896e-002  
  2.565996688843e-003  -8.057747887735e-002  -8.533728029141e-002  
  2.578496688843e-003  -9.469101588732e-002  -9.668500954988e-002  
  2.590996688843e-003  -1.082207512964e-001  -1.073854210309e-001  
  2.603496688843e-003  -1.210832697867e-001  -1.173780890698e-001  
  2.613340133667e-003  -1.306905896188e-001  -1.247139362999e-001  
  2.623883956909e-003  -1.404261976017e-001  -1.320230235026e-001  
  2.636383956909e-003  -1.511666358682e-001  -1.399212124421e-001  
  2.648883956909e-003  -1.609750815566e-001  -1.469586449486e-001  
  2.657291549683e-003  -1.670175143930e-001  -1.511961598751e-001  
  2.666100448608e-003  -1.728482200908e-001  -1.552012334808e-001  
  2.678600448608e-003  -1.802095933070e-001  -1.601134923501e-001  
  2.691100448608e-003  -1.864599144546e-001  -1.641149519524e-001  
  2.703600448608e-003  -1.915606482254e-001  -1.672027541762e-001  
  2.713439315796e-003  -1.947461495099e-001  -1.689904109489e-001  
  2.723981613159e-003  -1.973334296977e-001  -1.702784841425e-001  
  2.736481613159e-003  -1.992789782633e-001  -1.709654721969e-001  
  2.748981613159e-003  -1.999959056609e-001  -1.707423118360e-001  
  2.757415145874e-003  -1.997829695988e-001  -1.700776816726e-001  
  2.766251510620e-003  -1.989582348601e-001  -1.689359853583e-001  
  2.778751510620e-003  -1.967453847308e-001  -1.665426583907e-001  
  2.791251510620e-003  -1.933195338802e-001  -1.632357174336e-001  
  2.803751510620e-003  -1.887018038180e-001  -1.590148488147e-001  
  2.813527816772e-003  -1.842777857770e-001  -1.550783009970e-001  
  2.824019760132e-003  -1.787571495080e-001  -1.502373940837e-001  
  2.836519760132e-003  -1.711684111729e-001  -1.436465584935e-001  
  2.849019760132e-003  -1.625243626636e-001  -1.361788453196e-001  
  2.857463973999e-003  -1.561143832091e-001  -1.306510427852e-001  
  2.866311019897e-003  -1.489276408858e-001  -1.244539135549e-001  
  2.878811019897e-003  -1.379947546692e-001  -1.150187243494e-001  
  2.891311019897e-003  -1.262110849022e-001  -1.048301670410e-001  
  2.903811019897e-003  -1.136492818273e-001  -9.394253795924e-002  
  2.913572067261e-003  -1.033486745092e-001  -8.499400128299e-002  
  2.924050277710e-003  -9.185985433756e-002  -7.499247178310e-002  
  2.936550277710e-003  -7.763792703897e-002  -6.258400581149e-002  
  2.949050277710e-003  -6.293733610294e-002  -4.973094704977e-002  
  2.957499069214e-003  -5.277573819675e-002  -4.083340617883e-002  
  2.966356796265e-003  -4.196314453423e-002  -3.135625849399e-002  
  2.978856796265e-003  -2.649125202787e-002  -1.778295553411e-002  
  2.991356796265e-003  -1.085603214352e-002  -4.057496551783e-003  
  3.003856796265e-003  4.846118788988e-003  9.728890356243e-003  
  3.013608688354e-003  1.708035122657e-002  2.046741502046e-002  
  3.024080795288e-003  3.014549210939e-002  3.192793847411e-002  
  3.036580795288e-003  4.556510930118e-002  4.543775318159e-002  
  3.038143295288e-003  4.747474210081e-002  4.710927500122e-002  
  3.041268295288e-003  5.128009694334e-002  5.043894765897e-002  
  3.047518295288e-003  5.883003885258e-002  5.703980311699e-002  
  3.052198928833e-003  6.442542866716e-002  6.192668612749e-002  
  3.057145828247e-003  7.027846033022e-002  6.703333555196e-002  
  3.067039627075e-003  8.177526158073e-002  7.704614029678e-002  
  3.078872817993e-003  9.510707657709e-002  8.862122464725e-002  
  3.091372817993e-003  1.086179330754e-001  1.003022170883e-001  
  3.103872817993e-003  1.214591238972e-001  1.113443486857e-001  
  3.113585037231e-003  1.309233951424e-001  1.194362030792e-001  
  3.124034255981e-003  1.405606204196e-001  1.276243044793e-001  
  3.136534255981e-003  1.512902346717e-001  1.366630661922e-001  
  3.149034255981e-003  1.610870943179e-001  1.448219364912e-001  
  3.157486099243e-003  1.671518811923e-001  1.498117246240e-001  
  3.166342300415e-003  1.730009158539e-001  1.545644983516e-001  
  3.178842300415e-003  1.803412011788e-001  1.604162281911e-001  
  3.191342300415e-003  1.865696230290e-001  1.652303747248e-001  
  3.203842300415e-003  1.916477811125e-001  1.689748623035e-001  
  3.213578933716e-003  1.947860247594e-001  1.711340130450e-001  
  3.224037307739e-003  1.973448082222e-001  1.727035095832e-001  
  3.236537307739e-003  1.992849035832e-001  1.735505195979e-001  
  3.249037307739e-003  1.999963412446e-001  1.732733536007e-001  
  3.257487625122e-003  1.997787069282e-001  1.724501769674e-001  
  3.266345352173e-003  1.989461797444e-001  1.710395091572e-001  
  3.278845352173e-003  1.967241629781e-001  1.681048249535e-001  
  3.291345352173e-003  1.932892763296e-001  1.640833246284e-001  
  3.303845352173e-003  1.886626970172e-001  1.590016994157e-001  
  3.313635391235e-003  1.842252062901e-001  1.543028856983e-001  
  3.324141067505e-003  1.786887294322e-001  1.485821352379e-001  
  3.336641067505e-003  1.710895141551e-001  1.408965643544e-001  
  3.338203567505e-003  1.700644120055e-001  1.398710478237e-001  
  3.341328567505e-003  1.679651346016e-001  1.377780315284e-001  
  3.347578567505e-003  1.635731527988e-001  1.334269851410e-001  
  3.352203506470e-003  1.601603614635e-001  1.300690886966e-001  
  3.357056564331e-003  1.564338839584e-001  1.264229490271e-001  
  3.366762680054e-003  1.485482047836e-001  1.187689403278e-001  
  3.379262680054e-003  1.375833707872e-001  1.082433013141e-001  
  3.391762680054e-003  1.257702895588e-001  9.703122966465e-002  
  3.404262680054e-003  1.131817926724e-001  8.520720502770e-002  
  3.413858932495e-003  1.030398806328e-001  7.576380365733e-002  
  3.424202865601e-003  9.168948628464e-002  6.527514680124e-002  
  3.436702865601e-003  7.746118072518e-002  5.223973004531e-002  
  3.438265365601e-003  7.564722979180e-002  5.058652036139e-002  
  3.441390365601e-003  7.199763034777e-002  4.726615639033e-002  
  3.447640365601e-003  6.461657977930e-002  4.057449303815e-002  
  3.452219528198e-003  5.914484400963e-002  3.563389335851e-002  
  3.456998580933e-003  5.338211642478e-002  3.044890875311e-002  
  3.466556686401e-003  4.171751338516e-002  2.001104177745e-002  
  3.479056686401e-003  2.624225511236e-002  6.281376342569e-003  
  3.491556686401e-003  1.060520461035e-002  -7.453551960943e-003  
  3.504056686401e-003  -5.097230504659e-003  -2.110260010324e-002  
  3.513735336304e-003  -1.723891486770e-002  -3.155455930047e-002  
  3.524149459839e-003  -3.023078992882e-002  -4.263550810442e-002  
  3.536649459839e-003  -4.564912231418e-002  -5.564096392767e-002  
  3.538211959839e-003  -4.755855789589e-002  -5.724013007455e-002  
  3.541336959839e-003  -5.136349408735e-002  -6.041900375517e-002  
  3.547586959839e-003  -5.891250241466e-002  -6.669462997758e-002  
  3.552172988892e-003  -6.439456826167e-002  -7.122510917172e-002  
  3.556961959839e-003  -7.006209244508e-002  -7.588420397327e-002  
  3.566539901733e-003  -8.120177730784e-002  -8.496576361219e-002  
  3.579039901733e-003  -9.529172841549e-002  -9.629791599565e-002  
  3.591539901733e-003  -1.087941743297e-001  -1.069805385604e-001  
  3.604039901733e-003  -1.216258679815e-001  -1.169525528187e-001  
  3.613694137573e-003  -1.310270062354e-001  -1.241350976736e-001  
  3.624093002319e-003  -1.406131272513e-001  -1.313381926855e-001  
  3.636593002319e-003  -1.513385081957e-001  -1.392345299285e-001  
  3.638155502319e-003  -1.526148705884e-001  -1.401615386290e-001  
  3.641280502319e-003  -1.551233457563e-001  -1.419749289284e-001  
  3.647530502319e-003  -1.599599430743e-001  -1.454379255047e-001  
  3.652176803589e-003  -1.633960732894e-001  -1.478694816289e-001  
  3.657058853149e-003  -1.668564734170e-001  -1.502919116475e-001  
  3.666822952270e-003  -1.733031943740e-001  -1.547261541393e-001  
  3.678712600708e-003  -1.802706745866e-001  -1.593793184372e-001  
  3.691212600708e-003  -1.865108423311e-001  -1.633821567854e-001  
  3.703712600708e-003  -1.916011087114e-001  -1.664694024197e-001  
  3.713417190552e-003  -1.947398167239e-001  -1.682356077856e-001  
  3.723930496216e-003  -1.973229651271e-001  -1.695269499135e-001  
  3.736430496216e-003  -1.992735184789e-001  -1.702223322307e-001  
  3.748930496216e-003  -1.999954843242e-001  -1.700065807155e-001  
  3.757374710083e-003  -1.997853297147e-001  -1.693446127797e-001  
  3.766220230103e-003  -1.989622378612e-001  -1.682040010100e-001  
  3.778720230103e-003  -1.967524434488e-001  -1.658123368937e-001  
  3.791220230103e-003  -1.933296047957e-001  -1.625058232315e-001  
  3.803720230103e-003  -1.887148248404e-001  -1.582843783381e-001  
  3.813531631470e-003  -1.842759226958e-001  -1.543317066584e-001  
  3.824054092407e-003  -1.787377958702e-001  -1.494722197855e-001  
  3.836554092407e-003  -1.711460919153e-001  -1.428746756054e-001  
  3.838116592407e-003  -1.701219050820e-001  -1.419878160007e-001  
  3.841241592407e-003  -1.680244415989e-001  -1.401731606306e-001  
  3.847491592407e-003  -1.636360183555e-001  -1.363813776208e-001  
  3.852192825317e-003  -1.601684001324e-001  -1.333882873370e-001  
  3.857145828247e-003  -1.563639686051e-001  -1.301059374665e-001  
  3.867051834106e-003  -1.483046604631e-001  -1.231531714558e-001  
  3.879266494751e-003  -1.375798915378e-001  -1.138932094977e-001  
  3.891766494751e-003  -1.257665623066e-001  -1.036746452389e-001  
  3.904266494751e-003  -1.131778403972e-001  -9.275873041342e-002  
  3.913868850708e-003  -1.030291982560e-001  -8.393925405132e-002  
  3.924228042603e-003  -9.166136745145e-002  -7.404059514648e-002  
  3.936728042603e-003  -7.743201073579e-002  -6.162391101470e-002  
  3.949228042603e-003  -6.272525992519e-002  -4.876432086725e-002  
  3.957632583618e-003  -5.261388728178e-002  -3.991003277744e-002  
  3.966447586060e-003  -4.185158742272e-002  -3.047640351381e-002  
  3.978947586060e-003  -2.637816316498e-002  -1.690139222116e-002  
  3.991447586060e-003  -1.074210875971e-002  -3.175289327411e-003  
  4.003947586060e-003  4.960174318185e-003  1.061069840596e-002  
  4.013626235962e-003  1.710232153542e-002  2.126774080319e-002  
  4.024035781860e-003  3.008957160412e-002  3.265901884656e-002  
  4.036535781860e-003  4.551002950043e-002  4.616829463462e-002  
  4.038098281860e-003  4.741979139448e-002  4.783975739846e-002  
  4.041223281860e-003  5.122542030170e-002  5.116929554448e-002  
  4.047473281860e-003  5.877597346317e-002  5.776991860271e-002  
  4.052115768433e-003  6.432648779048e-002  6.261701438435e-002  
  4.056987136841e-003  7.009172511483e-002  6.764647607675e-002  
  4.066729873657e-003  8.141988351229e-002  7.751144471547e-002  
  4.078622573853e-003  9.483032440454e-002  8.915340198929e-002  
  4.091122573853e-003  1.083537497220e-001  1.008438959262e-001  
  4.103622573853e-003  1.212091381411e-001  1.118969782216e-001  
  4.113447708130e-003  1.307928881322e-001  1.200897551308e-001  
  4.123990005493e-003  1.405210571733e-001  1.283532322667e-001  
  4.136490005493e-003  1.512538591854e-001  1.373920299735e-001  
  4.148990005493e-003  1.610541308586e-001  1.455510049057e-001  
  4.157458633423e-003  1.671329268986e-001  1.505503722415e-001  
  4.166327041626e-003  1.729912938552e-001  1.553085493478e-001  
  4.178827041626e-003  1.803329101480e-001  1.611581325539e-001  
  4.191327041626e-003  1.865627140829e-001  1.659700709251e-001  
  4.203827041626e-003  1.916422968471e-001  1.697122869167e-001  
  4.213612503052e-003  1.947955898987e-001  1.718787569831e-001  
  4.224113601685e-003  1.973603560150e-001  1.734474062416e-001  
  4.236613601685e-003  1.992929808473e-001  1.742837356859e-001  
  4.238176101685e-003  1.994483274804e-001  1.743091924384e-001  
